Sl: No,State,Road density (m/km2)
1,Uttar Pradesh,28.11
2,Rajasthan,16.32
3,Tamil Nadu,37.15
4,Madhya Pradesh,15.15
5,Andhra Pradesh,16.50
6,Karnataka,22.92
7,Maharashtra,13.57
8,Odisha,23.79
9,Bihar,38.67
10,Gujarat,16.55
11,Assam,36.16
12,West Bengal,29.05
13,Chhattisgarh,---
14,Uttarakhand,38.18
15,Arunachal Pradesh,23.79
16,Jharkhand,22.64
17,Punjab,30.92
18,Haryana,34.19
19,Kerala,37.49
20,Himachal Pradesh,25.31
21,Jammu and Kashmir,5.60
22,Manipur,42.95
23,Mizoram,43.97
24,Meghalaya,36.11
25,Nagaland,29.79
26,Tripura,38.15
27,Goa,72.66
28,Sikkim,8.74
