S.No,State,Suicide Rate (per 1 lakh) 2015[4],Rank
1,Andhra Pradesh,12.1,16
2,Arunachal Pradesh,10.4,20
3,Assam,10,21
4,Bihar,0.5,36
5,Chhattisgarh,27.7,4
6,Goa,15.4,12
7,Gujarat,11.6,19
8,Haryana,13,15
9,Himachal Pradesh,7.7,24
10,Jammu and Kashmir,3,31
11,Jharkhand,2.5,32
12,Karnataka,17.4,10
13,Kerala,21.6,8
14,Madhya Pradesh,13.3,14
15,Maharashtra,14.2,13
16,Manipur,1.4,34
17,Meghalaya,6.2,27
18,Mizoram,11.7,18
19,Nagaland,0.9,35
20,Odisha,9.7,22
21,Punjab,3.6,30
22,Rajasthan,4.8,28
23,Sikkim,37.5,2
24,Tamil Nadu,22.8,7
25,Telangana,27.7,5
26,Tripura,19.6,9
27,Uttar Pradesh,1.8,33
28,Uttarakhand,4.5,29
29,West Bengal,15.7,11
